"lang"
{
"Language"	"turkish"
"HL2_Credits_Misc2"	"Mary Kae Irvin - Siviller\\Çesitli karakterler"
"[english]HL2_Credits_Misc2"	"Mary Kae Irvin - Citizens\\Misc. characters"
"HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"[english]HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"HL2_Credits_VoiceCastingTitle"	"Ses Kadrosu:"
"[english]HL2_Credits_VoiceCastingTitle"	"Voice Casting:"
"HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"[english]HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"HL2_Credits_VoiceRecordingTitle"	"Ses Kayit:"
"[english]HL2_Credits_VoiceRecordingTitle"	"Voice Recording:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"[english]HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"[english]HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"HL2_Credits_VoiceSchedulingTitle"	"Ses kayit programi ve lojistik:"
"[english]HL2_Credits_VoiceSchedulingTitle"	"Voice recording scheduling and logistics:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"[english]HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"HL2_Credits_LegalTeam"	"Yasal Deneme Takimi:"
"[english]HL2_Credits_LegalTeam"	"Crack Legal Team:"
"HL2_Credits_FacesThanks"	"Yüzlerini kullandigimiz kisilere tesekkürler:"
"[english]HL2_Credits_FacesThanks"	"Thanks to the following for the use of their faces:"
"HL2_Credits_SpecialThanks"	"Özel tesekkürler:"
"[english]HL2_Credits_SpecialThanks"	"Special thanks to everyone at:"
"EP2_KILL_POISONANTLION_NAME"	"Asit Refleksi"
"[english]EP2_KILL_POISONANTLION_NAME"	"Acid Reflex"
"EP2_KILL_POISONANTLION_DESC"	"Bir tane asitli antlion isçisi öldür."
"[english]EP2_KILL_POISONANTLION_DESC"	"Kill an acid antlion worker."
"EP2_KILL_ALLGRUBS_NAME"	"Kurtçuk Ezmece"
"[english]EP2_KILL_ALLGRUBS_NAME"	"Get Some Grub"
"EP2_KILL_ALLGRUBS_DESC"	"Oyunda bulunan tüm antlion kurtçuklarini ez."
"[english]EP2_KILL_ALLGRUBS_DESC"	"Squish every antlion grub in Episode Two."
"EP2_BREAK_ALLWEBS_NAME"	"Ag Yirtma Partisi"
"[english]EP2_BREAK_ALLWEBS_NAME"	"Piñata Party"
"EP2_BREAK_ALLWEBS_DESC"	"Oyunda bulunan tüm aglari bul ve yirt."
"[english]EP2_BREAK_ALLWEBS_DESC"	"Find and break every web cache in Episode Two."
"EP2_BEAT_ANTLIONINVASION_NAME"	"Gedige Dogru"
"[english]EP2_BEAT_ANTLIONINVASION_NAME"	"Into the Breach"
"EP2_BEAT_ANTLIONINVASION_DESC"	"Maden kuyusundaki antlion istilasini engellemek için Griggs ve Sheckley'e yardim et."
"[english]EP2_BEAT_ANTLIONINVASION_DESC"	"Help Griggs and Sheckley hold off the antlion invasion inside the mine shaft."
"EP2_BEAT_ANTLIONGUARDS_NAME"	"Ikiye Bir"
"[english]EP2_BEAT_ANTLIONGUARDS_NAME"	"Twofer"
"EP2_BEAT_ANTLIONGUARDS_DESC"	"Beyaz Orman disindaki iki kum böcegi koruyucusunu da öldür."
"[english]EP2_BEAT_ANTLIONGUARDS_DESC"	"Defeat both antlion guards outside the White Forest."
"EP2_KILL_ENEMIES_WITHCAR_NAME"	"Vur Kaç"
"[english]EP2_KILL_ENEMIES_WITHCAR_NAME"	"Hit and Run"
"EP2_KILL_ENEMIES_WITHCAR_DESC"	"20 düsmanin üzerinden arabayla geç."
"[english]EP2_KILL_ENEMIES_WITHCAR_DESC"	"Run over 20 enemies with the car in Episode Two."
"EP2_BEAT_HUNTERAMBUSH_NAME"	"Hunterlarla Tanisma"
"[english]EP2_BEAT_HUNTERAMBUSH_NAME"	"Meet the Hunters"
"EP2_BEAT_HUNTERAMBUSH_DESC"	"Alyx'le birlikte Hunter pususundan kurtul."
"[english]EP2_BEAT_HUNTERAMBUSH_DESC"	"Survive the Hunter ambush with Alyx."
"EP2_KILL_CHOPPER_NOMISSES_NAME"	"Hastanelik Et"
"[english]EP2_KILL_CHOPPER_NOMISSES_NAME"	"Puttin' On a Clinic"
"EP2_KILL_CHOPPER_NOMISSES_DESC"	"Oyundaki helikopteri hiç iskalamadan bozguna ugrat."
"[english]EP2_KILL_CHOPPER_NOMISSES_DESC"	"Defeat the chopper in Episode Two without any misses."
"EP2_KILL_COMBINECANNON_NAME"	"Cezalandirici!"
"[english]EP2_KILL_COMBINECANNON_NAME"	"Gunishment!"
"EP2_KILL_COMBINECANNON_DESC"	"Hurdaliktaki Combine Autogun'i yok et."
"[english]EP2_KILL_COMBINECANNON_DESC"	"Destroy the Combine Autogun in the junkyard."
"EP2_FIND_ALLRADARCACHES_NAME"	"Zula Kontrolcüsü"
"[english]EP2_FIND_ALLRADARCACHES_NAME"	"Cache Checker"
"EP2_FIND_ALLRADARCACHES_DESC"	"Radar Altinda bölümündeki radarin gösterdigi tüm zulalari bul."
"[english]EP2_FIND_ALLRADARCACHES_DESC"	"Find every radar cache in chapter Under The Radar."
"EP2_BEAT_ROCKETCACHEPUZZLE_NAME"	"Gordon Itmeli Roket"
"[english]EP2_BEAT_ROCKETCACHEPUZZLE_NAME"	"Gordon Propelled Rocket"
"EP2_BEAT_ROCKETCACHEPUZZLE_DESC"	"Radar Altinda bölümündeki roket atari al."
"[english]EP2_BEAT_ROCKETCACHEPUZZLE_DESC"	"Unlock the rocket launcher lambda cache in chapter Under The Radar."
"EP2_BEAT_RACEWITHDOG_NAME"	"Gazi Kökle"
"[english]EP2_BEAT_RACEWITHDOG_NAME"	"Pedal to the Metal"
"EP2_BEAT_RACEWITHDOG_DESC"	"White Forest üssüne olan yarista DOG'u maglup et."
"[english]EP2_BEAT_RACEWITHDOG_DESC"	"Beat DOG in a race to the White Forest base."
"EP2_BEAT_WHITEFORESTINN_NAME"	"Dagdan Sessizce Kaçis"
"[english]EP2_BEAT_WHITEFORESTINN_NAME"	"Quiet Mountain Getaway"
"EP2_BEAT_WHITEFORESTINN_DESC"	"White Forest Oteli'ndeki pusudan kurtul."
"[english]EP2_BEAT_WHITEFORESTINN_DESC"	"Survive the ambush at White Forest Inn."
"EP2_PUT_ITEMINROCKET_NAME"	"Ufak Roket Adam"
"[english]EP2_PUT_ITEMINROCKET_NAME"	"Little Rocket Man"
"EP2_PUT_ITEMINROCKET_DESC"	"Bahçe cinini uzaya gönder."
"[english]EP2_PUT_ITEMINROCKET_DESC"	"Send the garden gnome into space."
"EP2_BEAT_MISSILESILO2_NAME"	"Ikincil Silo Güvende"
"[english]EP2_BEAT_MISSILESILO2_NAME"	"Secondary Silo Secured"
"EP2_BEAT_MISSILESILO2_DESC"	"2. füze silosunun kapilarini güvence altina al."
"[english]EP2_BEAT_MISSILESILO2_DESC"	"Secure the launch doors on missile silo 2."
"EP2_BEAT_OUTLAND12_NOBUILDINGSDESTROYED_NAME"	"Semt Kollama"
"[english]EP2_BEAT_OUTLAND12_NOBUILDINGSDESTROYED_NAME"	"Neighborhood Watch"
"EP2_BEAT_OUTLAND12_NOBUILDINGSDESTROYED_DESC"	"Füze silosunun etrafindaki tüm binalari yikimdan kurtar."
"[english]EP2_BEAT_OUTLAND12_NOBUILDINGSDESTROYED_DESC"	"Save all buildings outside the missile silo from destruction."
"EP2_BEAT_GAME_NAME"	"Silahli Savunma"
"[english]EP2_BEAT_GAME_NAME"	"Defense of the Armament"
"EP2_BEAT_GAME_DESC"	"Füze silosunu Combine saldirisindan koru."
"[english]EP2_BEAT_GAME_DESC"	"Save the missile silo from the Combine offensive."
"EP2_KILL_HUNTER_WITHFLECHETTES_NAME"	"Geri Ödeme"
"[english]EP2_KILL_HUNTER_WITHFLECHETTES_NAME"	"Payback"
"EP2_KILL_HUNTER_WITHFLECHETTES_DESC"	"Bir Hunter'i kendi oklariyla öldür."
"[english]EP2_KILL_HUNTER_WITHFLECHETTES_DESC"	"Kill a Hunter with its own flechettes."
"HL2_SAVING"	"Kaydediliyor..."
"[english]HL2_SAVING"	"Saving..."
}
}
